	.Intergenic	+StartCodons	+StopCodons	+DSplice	+Intron	+ASplice	+Codons	-StartCodons	-StopCodons	-DSplice	-Intron	-ASplice	-Codons
.Intergenic	0.99907027069980563648	4.6486465009718176E-4	0.0	0.0	0.0	0.0	0.0	0.0	4.6486465009718176E-4	0.0	0.0	0.00	0.0
+StartCodons	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
+StopCodons	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
+Codons	0.0	0.0	0.001557632398753894	0.001557632398753894	0.0	0.0	0.996884735202492212	0.0	0.0	0.0	0.0	0.0	0.0
+DSplice	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
+Intron	0.0	0.0	0.0	0.0	0.993333333	0.006666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0
+ASplice	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
-StartCodons	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-StopCodons	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
-DSplice	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
-ASplice	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
-Intron	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.006666667	0.993333333	0.0	0.0
-Codons	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001557632398753894	0.0	0.0	0.0	0.001557632398753894	0.996884735202492212
