	.Intergenic	+StartCodons	+StopCodons	+DSplice	+Intron	+ASplice	+Codons	-StartCodons	-StopCodons	-DSplice	-Intron	-ASplice	-Codons
.Intergenic	0.996410676	0.0017946621281127286	0.0	0.0	0.0	0.0	0.0	0.0	0.0017946621281127286	0.0	0.0	0.00	0.0
+StartCodons	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
+StopCodons	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
+Codons	0.0	0.0	0.001996007984031936	0.001996007984031936	0.0	0.0	0.996007984	0.0	0.0	0.0	0.0	0.0	0.0
+DSplice	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
+Intron	0.0	0.0	0.0	0.0	0.993333333	0.006666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0
+ASplice	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
-StartCodons	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-StopCodons	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
-DSplice	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
-ASplice	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
-Intron	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.006666667	0.993333333	0.0	0.0
-Codons	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001996007984031936	0.0	0.0	0.0	0.001996007984031936	0.996007984
